邀请好友数量,邀请好友奖励描述,邀请好友奖励ID列表
1,邀请<c r=24 g=255 b=6>1</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>50,55101
2,邀请<c r=24 g=255 b=6>2</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>70,55102
4,邀请<c r=24 g=255 b=6>4</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>90,55103
6,邀请<c r=24 g=255 b=6>6</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>120,55104
8,邀请<c r=24 g=255 b=6>8</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>150,55105
10,邀请<c r=24 g=255 b=6>10</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>180,55106
12,邀请<c r=24 g=255 b=6>12</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>210,55107
14,邀请<c r=24 g=255 b=6>14</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>240,55108
16,邀请<c r=24 g=255 b=6>16</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>270,55109
18,邀请<c r=24 g=255 b=6>18</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>300,55110
20,邀请<c r=24 g=255 b=6>20</c>个好友<n></n>获得<s x=0.7 y=0.7><i u=icon/1001.png x=-10 y=-25 h=32 w=50></i></s>350,55111
